Pick-Up Hub Full Launch – 2 Weeks Master Plan,,,,,,,
,,,,,,,
Project Name,Task,Expected Outcome,Responsible,Final Date,Status ,,
Legal & Agreements,Finalize all 14 contracts & collect remaining signatures,14 signed hubs,Marketing,Week 0 20/02/2026 - 27/02/2026,FALSE,20/02/2026 - 27/02/2026,Week 0 
,Complete backup documentation (cash / guarantor),All hubs legally secured,Marketing,Week 0 20/02/2026 - 27/02/2026,FALSE,28/02/2026 - 6/03/2026,week 1
Training Coordination,"Inform SGLs & drivers, agree on suitable training date",Confirmed training schedule,Ops,Week 1 28/02/2026 - 6/03/2026,TRUE,07/03/2026 - 13/03/2026,week 2
Product Compensation Structure,Finalize volume-based % (50kg–1000kg),Approved compensation model,"Getalem, Bruk, Aman", Week 2 07/03/2026 - 13/03/2026 ,FALSE,14/03/2026 - 20/03/2026 ,week 3
Driver Training,"Train drivers (loading, grading protection, damage control)",Drivers operationally ready,Logistics Lead, Week 2 07/03/2026 - 13/03/2026 ,TRUE,,
SGL Training,"Train 14 SGLs (sorting, grading, returns, area orders)",SGLs operationally ready,Ops / Warehouse / Getalem, Week 2 07/03/2026 - 13/03/2026 ,TRUE,,
Logistics Setup,Assign 6 routes & distribute crates to 4 drivers,Routes structured & crates active,Logistics, Week 2 07/03/2026 - 13/03/2026 ,TRUE,,
Area Order Workflow,Standardize PDF flow warehouse → driver → SGL,Clear area order process,Warehouse, Week 2 07/03/2026 - 13/03/2026 ,FALSE,,
Survey From B2C side ,awearness & Collect feedbacks for the new feature ,Giving awearness & feedback collection ,Marketing, Week 2 07/03/2026 - 13/03/2026 ,TRUE,,
List out Location handling with current pick ups ,Try to understand our pick ups how many orders and areas will they manage ,Pick up over view order handling ,Dev / Marketing, Week 2 07/03/2026 - 13/03/2026 ,FALSE,,
Delivery Fee Activation,Finalize & activate delivery fee structure,Delivery fee active, , Week 2 07/03/2026 - 13/03/2026 ,FALSE,,
Dev System,Develop basic incentive tracking tool,SGL incentive visibility started,Dev Team,?,FALSE,,
App Update,Activate Pick-Up vs Drop-Off option,Delivery options live in app,Dev Team,?,FALSE,,
Plastic Policy,Implement “No plastic for Pick-Up” logic,Plastic policy enforced,Ops / Dev,?,FALSE,,
Capacity Management,Check each hub’s space & set quantity limits,Capacity control structure,Dev / Marketing,?,FALSE,,
Pilot Test,Test system in small scale (selected hubs),System validated,Dev / Ops,?,FALSE,,
Equipment Distribution,Provide operational equipment to hubs (based on need),Hubs fully equipped to start operations,Ops / Logistics, Week 2 07/03/2026 - 13/03/2026 ,FALSE,,
EIC Support Letter,Prepare & issue EIC letter to Pick-Up Leaders to avoid government issues,Legal protection & compliance support,Management / Legal, Week 2 07/03/2026 - 13/03/2026 ,FALSE,,
Performance Review,"Evaluate cost per KG, commission payout & hub ranking",Scale decision ready,Leadership,week 3 14/03/2026 - 20/03/2026 ,FALSE,,
Go Live,Activate all 14 hubs for full operation,Fully running Pick-Up Hub model,Ops,week 3 14/03/2026 - 20/03/2026 ,FALSE,,
Monitoring,"Track KG per hub, route efficiency & damage daily",Performance visibility,Ops / Logistics,week 3 14/03/2026 - 20/03/2026 ,FALSE,,
